Time,enc_1,enc_2,Trails,Robx,Roby,PlayerX,PlayerY,CirclePosX,CirclePosY,circleRadius,TargetPos1,TargetPos2,targetRadii,CurrentStat
2024-08-01 12:04:36.565,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.570,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.573,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.579,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.585,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.589,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.593,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.598,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.602,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.607,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.612,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.615,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.621,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.626,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.630,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.634,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.638,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.642,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.647,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.651,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.655,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.659,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.664,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.668,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.673,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.677,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.682,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.686,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.691,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.697,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.700,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.704,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.708,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.713,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.717,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.721,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.725,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.729,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.734,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.738,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.742,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.747,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.752,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.757,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.763,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.767,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.770,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.775,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.779,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.784,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.789,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.793,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.797,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.801,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.806,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.810,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.814,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.818,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.823,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.826,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.831,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.834,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.839,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.844,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.849,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.853,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.858,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.863,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.866,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.871,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.876,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.880,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.883,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.888,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.892,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.896,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.901,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.905,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.909,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.913,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.918,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.922,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.926,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.931,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.934,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.940,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.944,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.947,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.953,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.956,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.960,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.965,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.969,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.973,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
